Locus_Name	Alias_Name	Description	Gene_Product	Phenotype	ORF_Name	SGDID
ADE17		AICAR transformylase/IMP cyclohydrolase	5-aminoimidazole-4-carboxamide ribonucleotide (AICAR) transformylase/IMP cyclohydrolase	Null mutant is viable; ade16 ade17 double mutants require adenine	YMR120C	S0004727
ADE2		phosphoribosylamino-imidazole-carboxylase	phosphoribosylamino-imidazole-carboxylase	Null mutant is viable and requires adenine. ade2 mutants are blocked at a stage in the adenine biosynthetic pathway that causes an intermediate to accumulate in the vacuole; the intermediate gives the cell a red color.	YOR128C	S0005654
ADE3		Required for the biosynthesis of purines, thymidylate, methionine, histidine, pantothenic acid and formylmethionyl-tRNA	C1-tetrahydrofolate synthase	Null mutant is viable, adenine auxotroph, histidine auxotroph	YGR204W	S0003436
ADE4		phosphoribosylpyrophosphate amidotransferase	phosphoribosylpyrophosphate amidotransferase	Adenine requiring	YMR300C	S0004915
ADE5,7		glycinamide ribotide synthetase and aminoimidazole ribotide synthetase	aminoimidazole ribotide synthetase|glycinamide ribotide synthetase	Adenine requiring	YGL234W	S0003203
ADE6		5'-phosphoribosylformyl glycinamidine synthetase	5'-phosphoribosylformyl glycinamidine synthetase	Adenine requiring	YGR061C	S0003293
ADE8		glycinamide ribotide transformylase	glycinamide ribotide transformylase	Adenine requiring	YDR408C	S0002816
ADH1	ADC1	Adh protein catalyzes activities for the production of certain carboxylate esters.	alcohol dehydrogenase	Null mutant is viable and sensitive to formaldehyde.	YOL086C	S0005446
ADH2	ADR2	Glucose-repressible alcohol dehydrogenase II catalyzes activities for the production of certain carboxylate esters.	alcohol dehydrogenase II	Null mutant is viable	YMR303C	S0004918
ADH3		shows a high affinity for alcohols with a double bond conjugated to the alcohol function.	alcohol dehydrogenase isoenzyme III	Null mutant is viable	YMR083W	S0004688
ADH4	NRC465|ZRG5	Alcohol dehydrogenase type IV	alcohol dehydrogenase isoenzyme IV	Null mutant is viable	YGL256W	S0003225
ADH5		alcohol dehydrogenase isoenzyme V	alcohol dehydrogenase isoenzyme V		YBR145W	S0000349
ADH6	ADHVI	NADPH-dependent alcohol dehydrogenase	medium chain alcohol dehydrogenase		YMR318C	S0004937
ADH7	ADHVII	NADP(H)-dependent alcohol dehydrogenase	medium chain alcohol dehydrogenase		YCR105W	S0000702
ADK1	AKY1|AKY2	adenylate kinase	adenylate kinase	Null mutant is viable, has a petite phenotype	YDR226W	S0002634
ADK2	AKY3|PAK3	Adenylate kinase (mitochondrial GTP:AMP phosphotransferase)	adenylate kinase|mitochondrial GTP:AMP phosphotransferase	null mutant is viable	YER170W	S0000972
ADO1		adenosine kinase	adenosine kinase		YJR105W	S0003866
ADP1		Shows homology to ATP-dependent permeases			YCR011C	S0000604
ADR1		Controls the expression of ADH2, peroxisomal protein genes, and genes required for ethanol, glycerol, and fatty acid utilization.	positive transcriptional regulator	abolished derepression of ADH2	YDR216W	S0002624
ADY2	ATO1	Accumulation of DYads; member of the TC 9.B.33 YaaH family of putative transporters	transmembrane protein	Null mutant is viable; forms predominantly asci containing 2 spores (dyads) whensporulated; required for long-term growth on YPD at 37 degrees C; defect in ammonia production in S.cerevisiae colonies	YCR010C	S0000603
ADY3		Accumulation of DYads. Mediates assembly of the Don1p-containing structure at the leading edge of the prospore membrane via interaction with components of the spindle pole body.		Null forms largely asci that contain 2 spores (dyads) when sporulated. Sporulation defect in ady3ady3 cells is due to a failure to synthesize spore wall polymers.	YDL239C	S0002398
ADY4		Accumulation of dyads		Null: largely forms asci that contain 2 spores (dyads) when sporulated	YLR227C	S0004217
AEP1	NCA1	Requried for the translation of OLI1 mRNA.	basic hydrophilic 59 kDa protein	permanently respiratory defective; unable to translate OLI1 transcripts	YMR064W	S0004668
AEP2	ATP13	Required for the translation of OLI1 mRNA.	basic hydrophilic 67.5 kDa protein	non-conditional respiratory mutant; unable to express the mitochondrial OLI1 gene; pet mutant	YMR282C	S0004895
AFG1		ATPase family gene	ATPase family		YEL052W	S0000778
AFG2	DRG1	ATPase family gene	similar to the CDC48 gene product	Null mutant is inviable	YLR397C	S0004389
AFG3	YTA10	ATPase family gene	ATP dependent metalloprotease	nuclear petite phenotype; loss of repspiratory competence	YER017C	S0000819
AFR1		coordinates regulation of alpha-factor receptor signalling and induction of morphogenesis during conjugation	cytoskeletal protein|similar to arrestins	defect in alpha-factor-stimulated morphogenesis	YDR085C	S0002492
AFT2		Activator of Iron (Fe) Transcription		Null: Deletion of AFT2 exacerates iron deficiency of AFT1 disruption.	YPL202C	S0006123
AGA1		anchorage subunit of a-agglutinin	a-agglutinin anchorage subunit	mating defect in liquid medium	YNR044W	S0005327
AGA2		adhesion subunit of a-agglutinin	a-agglutinin adhesion subunit	Null mutant is viable and shows mating defect	YGL032C	S0003000
AGE1	SAT1	ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector	ARF GAP with effector function(s)	Null mutant is viable	YDR524C	S0002932
AGE2	SAT2	ADP-ribosylation factor (ARF) GTPase activating protein (GAP) effector 	ARF GAP with effector function(s)	Null mutant is viable	YIL044C	S0001306
AGP1	YCC5	broad substrate range permease which transports asparagine and glutamine with intermediate specificity	amino acid permease	Null mutant is viable; resistant to the amino acid analog gamma-hydroxyaspartate, decreased growth on asn, gln and some other amino acids in strains in which Gap1 and Gnp1 are also missing.	YCL025C	S0000530
AGP2		The acronym may be misleading. AGP2 has been shown to be a carnitine permease, not a general amino acid permease with broad substrate specificity.	plasma membrane carnitine transporter	Null mutant is viable; loss of growth on some amino acids as nitrogen source (leu, thr) in a strain which has no Gap1p or Agp1p function	YBR132C	S0000336
AGP3		The acronym may be misleading. AGP3 has not been shown to be a general amino acid permease with broad substrate specificity		Null mutant is viable; loss of growth on some amino acids as nitrogen source (leu, thr) in a strain which has no Gap1p or Agp1p function	YFL055W	S0001839
AGS1				aminoglycoside antibiotic sensitive		L0000064
AHA1		Activator of Heat Shock Protein 90 ATPase	Hsp90 system cochaperone; Aha1 binds to the middle domain of Hsp90 and improves client protein activation in vivo	Null: knockout viable	YDR214W	S0002622
AHC1		Ada Histone acetyltransferase complex component 	Ada histone acetyltransferase complex component	Null mutant is viable	YOR023C	S0005549
AHP1	cTPxIII	thioredoxin peroxidase	EC 1.11.1.-|alkyl hydroperoxide reductase	hypersensitive to tert-butyl hydroperoxide	YLR109W	S0004099
AHT1		the AHT1 DNA sequence is upstream of HXT4 and contains an HXT4 regulatory element which is a multicopy suppressor of glucose transport defects; probable non-functional ORF			YHR093W	S0001135
AI1		Mobile mitochondrial group II intron of COX1 which is involved in pre-mRNA splicing and in deletion of introns from mitochondrial DNA	intron-specific reverse transcriptase activity|maturase aI1	unable to excise adjacent aI2 intron; reduced intron mobility	Q0050	S0007261
AI2		Mobile mitochondrial group II intron of COX1 which is involved in pre-mRNA splicing and in deletion of introns from mitochondrial DNA	endonuclease (putative)|intron-specific reverse transcriptase activity|maturase aI2	defective in aI1 and aI2 intron mobility	Q0055	S0007262
AI3		Mobile group I intron of mitochondrial COX1	I-SceIII endonuclease activity|encoded by the 3' part of the aI3 intron	Mutations that block aI3 splicing cause defects in respiration and accumulate I-SceIII endonuclease.	Q0060	S0007263
AI4		intron of mitochondrial COX1	I-SceII endonuclease activity|encoded by the aI4 intron	Mutations that block aI4 splicing cause defects in respiration; other mutations affect intron mobility or maturase functions.	Q0065	S0007264
AI5	I-SceIV	aI5 intron of mitochondrial COX1	endonuclease			S0007416
AI5_ALPHA		Intron of mitochondrial COX1, aI5-alpha	DNA endonuclease involved in intron homing		Q0070	S0007265
AI5_BETA		Intron of mitochondrial COX1, aI5-beta			Q0075	S0007266
AIP1		Protein localizes to actin cortical patches. Probable binding site on actin lies on front surface of subdomain 3 and 4.	actin cortical patch component	Null mutant is viable	YMR092C	S0004698
AIR1		<u>a</u>rginine methyltransferase-<u>i</u>nteracting <u>R</u>ING finger protein			YIL079C	S0001341
AIR2		<u>a</u>rginine methyltransferase-<u>i</u>nteracting <u>R</u>ING finger protein			YDL175C	S0002334
AKL1		Ark-family kinase-like protein. This protein is the third member (After Ark1p and Prk1p) of the Ark-family kinases in S. cerevisiae.		Null mutant is viable	YBR059C	S0000263
AKR1		Negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control	ankyrin repeat-containing protein	Null mutant is viable, exhibits slow growth, abnormal morphology, and partial activation of pheromone response; defective for endocytosis of Ste2p and Ste3p	YDR264C	S0002672
AKR2		Protein involved in constitutive endocytosis of Ste3p			YOR034C	S0005560
ALA1	CDC64	Cytoplasmic alanyl-tRNA synthetase gene		null mutant is inviable; allele cdc64-1: arrest of proliferation at the regulatory step Start, inhibition of zygote formation and successful conjugation 	YOR335C	S0005862
ALD1			aldehyde dehydrogenase			S0007534
ALD2		Expression induced in response to high osmotic stress. NAD+ is preferred coenzyme.	aldeyhde dehydrogenase	ald2 ald3 double mutants show reduced growth rate with ethanol as the sole carbon source.	YMR170C	S0004780
ALD3		Expression induced in response to heat shock, oxidative and osmotic stress. NAD+ is preferred coenzyme.	aldehyde dehydrogenase	ald2 ald3 double mutants show reduced growth rate with ethanol as the sole carbon source.	YMR169C	S0004779
ALD4	ALD7	Glucose repressed. Utilizes NADP+ or NAD+ as a coenzyme equally well. (sold by SIGMA under the catalogue number A5550, according to A. Blomberg).	aldehyde dehydrogenase		YOR374W	S0005901
ALD5		Utilizes NADP+ as the preferred coenzyme. Activated by K+.	aldehyde dehydrogenase		YER073W	S0000875
ALD6		Utilizes NADP+ as the preferred coenzyme. Activated by Mg2+.	aldehyde dehydrogenase	Null mutant is viable, grows at approximately one-third the rate of wild-type, unable to grow on ethanol as a carbon source	YPL061W	S0005982
ALF1		alpha-tubulin foldin; protein implicated in folding of alpha tubulin	tubulin folding cofactor B	Null mutant is viable, benomyl super-sensitive, alf1 tub1 mutants are inviable	YNL148C	S0005092
ALG1		beta-1,4-mannosyltransferase	beta-1,4-mannosyltransferase	Null mutant is inviable	YBR110W	S0000314
ALG11		Specifies addition of the terminal alpha 1,2-Man to the Man5GlcNAc2-PP-dolichol N-Glycosylation intermediate		Null mutant displays poor growth and temperature-sensitive lethality	YNL048W	S0004993
ALG2		glycosyltransferase	glycosyltransferase	Null mutant is inviable, mutants accumulate Man1-2GlcNAc2 and arrest at G1	YGL065C	S0003033
ALG5		UDP-glucose:dolichyl-phosphate glucosyltransferase	UDP-glucose:dolichyl-phosphate glucosyltransferase	underglycosylation of carboxypeptidase Y	YPL227C	S0006148
ALG6		Required for glucosylation in the N-linked glycosylation pathway	glucosyltransferase	Null mutant is viable and defective in protein glycosylation.	YOR002W	S0005528
ALG7	TUR1	ER protein that transfers Glc-Nac-P from UDP-GlcNac to Dol-P	UDP-N-acetyl-glucosamine-1-P transferase (GPT)	Asparagine-linked glycosylation deficient; Null mutant is inviable	YBR243C	S0000447
ALG8	YOR29-18	adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein	glycosyl transferase	Null mutant is viable, secretes under-glycosylated proteins	YOR067C	S0005593
ALG9		catalyzes the transfer of mannose from Dol-P-Man to lipid-linked oligosaccharides	mannosyltransferase	accumulation of lipid-linked Man6GlcNAc2; hypoglycosylation of secreted proteins	YNL219C	S0005163
ALK1			leucine zipper (putative)|membrane protein (putative)		YGL021W	S0002989
ALO1		D-arabinono-1,4-lactone oxidase	D-arabinono-1,4-lactone oxidase	Null mutant is viable, shows increased sensitivity towards oxidative stress	YML086C	S0004551
ALP1	APL1	Homologous to permeases Can1p and Lyp1p	basic amino acid permease		YNL270C	S0005214
ALR1	SWC3	aluminium resistance	ion transporter (putative)	Null mutant is inviable; overexpression increases resistance to aluminum and gallium toxicity	YOL130W	S0005490
ALR2		aluminium resistance 	ion transporter (putative)	Null mutant is viable, overexpression increases resistance to aluminum and gallium toxicity	YFL050C	S0001844
AMA1	SPO70	Required for sporulation, highly induced during sporulation; activator of meiotic anaphase promoting complex		Null mutant is viable; homozygous null mutant does not sporulate but does not exhibit any vegetative phenotype.	YGR225W	S0003457
AMC1	CHL6	controls segregation of artificial minichromosomes during mitosis		affects mitotic transmission of natural chromosomes		L0000081
AMD1	AMD3	putative alpha-mannosidase	alpha-mannosidase (putative)	Null mutant is viable	YML035C	S0004498
AMD2		putative amidase	amidase (putative)	Null mutant is viable	YDR242W	S0002650
AME1	ARP100	associated with microtubules and essential	microtubule stability regulator	Null: Null mutant is inviable; localizes to microtubules and SPB region, ame1-1 arrests in G2/M, mutant rescues benomyl sensitivity of TUB4/ tub4 heterozygote, ame1-4 mutant allele and heterozygous mutant confer benomyl resistance, interacts with APC lid protein by two-hybrid	YBR211C	S0000415
AMN1	CST13|ICS4	Antagonist of MEN (Mitotic Exit Network)<br>Chromosome STability		Null mutant is viable, but grows slowly and shows increased sensitivity to copper ions	YBR158W	S0000362
AMS1		vacuolar alpha mannosidase	alpha mannosidase	null mutant is viable	YGL156W	S0003124
ANB1	HYP1|TIF51B	hypusine containg protein; ANB1 is expressed under anaerobic conditions and repressed under aerobic conditions whereas its homolog HYP2 is inversely regulated	translation initiation factor eIF-5A, anaerobically expressed form	null mutant is viable; a double mutant containing disruptions of both ANB1 and and the highly homologous HYP2 is inviable	YJR047C	S0003808
ANC4		actin non-complementing mutant				L0004318
ANI1				Anisomycin resistance		L0000088
ANP1	GEM3|MNN8	Mannan 8; Protein of the endoplasmic reticulum with a role in retention of glycosyltransferases in the Golgi, also involved in osmotic sensitivity and resistance to aminonitrophenyl propanediol		Null mutant has altered mannoprotein glycosylation and a defect in N-linked outerchain glycan mannosylation; other mutant phenotypes include aminonitrophenyl propanediol resistance, vanadate resistance, hygromycin B sensitive and a clumpy growth morphology.	YEL036C	S0000762
ANT1		adenine nucleotide transporter		Null: growth defect on medium-chain length fatty acids.	YPR128C	S0006332
AOR1		Actin Overexpression Resistant		Null: Cold-sensitive; Benomyl hypersensitive; Latrunculin-A hypersensitive	YBR231C	S0000435
AOS1		along with Uba2p forms a heterodimeric activating enzyme for Smt3p		Null mutant is inviable	YPR180W	S0006384
APA1	DTP1	diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase I	diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase I	null mutant is viable; defective regulation of the PMA1 (ATPase gene) expression by glucose	YCL050C	S0000555
APA2		5',5'''-P-1,P-4-tetraphosphate phosphorylase II	5',5'''-P-1,P-4-tetraphosphate phosphorylase II	Null mutant is viable	YDR530C	S0002938
APC1		anaphase-promoting complex component	ubiquitin ligase subunit		YNL172W	S0005116
APC11		subunit of the Anaphase Promoting Complex; all known APC subunits co-immunoprecipitate with epitope-tagged Apc11p	anaphase promoting complex (APC) subunit	Null mutant is inviable at 25 C	YDL008W	S0002166
APC2	RSI1	subunit of the Anaphase Promoting Complex; all known APC subunit co-immunoprecipitate with epitope-tagged Apc2. Apc2 shows similarity to cullins.	anaphase promoting complex (APC) subunit	Null mutant is inviable at 25 deg. C; ts mutants arrest in metaphase due to defect in the degradation of Pds1; extracts from G1-arrested apc2 mutants are defective in the ubiquitination of mitotic cyclins	YLR127C	S0004117
APC4		subunit of the Anaphase Promoting Complex; all known APC subunits co-immunoprecipitate with epitope-tagged Apc4p	anaphase promoting complex (APC) subunit	Null mutant is inviable at 25 C	YDR118W	S0002525
APC5	RMC1	subunit of the Anaphase Promoting Complex; all known APC subunits co-immunoprecipitate with epitope-tagged Apc5	anaphase promoting complex (APC) subunit	Null mutant is inviable at 25 C	YOR249C	S0005775
APC9		required for structural stability and the incorporation of Cdc27p into the APC.	anaphase promoting complex (APC) subunit	Null mutant is viable at 37 C but show delay in entry into anaphase at 37 C	YLR102C	S0004092
APD1		actin patches distal			YBR151W	S0000355
APE2	LAP1	Removal of intron fused YKL158W and YKL157W (Davis et al.(2000) NAR 28:1700-6)	aminopeptidase yscII	Null mutant is viable	YKL157W	S0001640
APE3	APY1	Aminopeptidase yscIII	aminopeptidase yscIII	Null mutant is viable but exhibited reduced vacuolar aminopeptidase activities and could not hydrolyze Lys-Ala-MCA to Lys and Ala-MCA.	YBR286W	S0000490
APG1	AUT3	Required for autophagy	protein kinase	Defective in autophagy; loses viability more rapidly than wild type during nitrogen starvation; defective in vacuolar protein degradation during nitrogen starvation; defective in sporulation	YGL180W	S0003148
APG10		Involved in autophagy; protein-conjugating enzyme involved in the Apg12p-Apg5p conjugation pathway	protein-conjugating enzyme	Defective autophagy, apg10-1 allele shows reduced viablility under starvation conditions	YLL042C	S0003965
APG11		Involved in autophagy		defective in protein degradation in the vacuoles induced by nitrogen starvation, homozygous diploids fail to sporulate		L0004786
APG12		autophagy		Null mutant is viable, defective in autophagy	YBR217W	S0000421
APG13		autophagy		Defective in autophagy	YPR185W	S0006389
APG14		Required for autophagy		Null mutant is viable but defective in autophagy.	YBR128C	S0000332
APG15		Involved in autophagy		defective in protein degradation in the vacuoles induced by nitrogen starvation, homozygous diploids fail to sporulate		L0004787
APG16	SAP18	autophagy		Null mutant is viable, defective in autophagy	YMR159C	S0004769
APG17		required for activation of Apg1 protein kinase		Null mutant is viable and has defect in autophagy|required for activation of Apg1 protein kinase	YLR423C	S0004415
APG2	AUT8|SPO72	Defective in autophagy; required for sporulation	peripheral membrane protein	The null mutant is viable but blocked in autophagy, pexophagy and import of Ape1 by the cytoplasm to vacuole targeting pathway. Diploids homozygous for the null mutation lack premeitoic DNA synthesis and do not sporulate.	YNL242W	S0005186
APG5		Involved in autophagy		reduced viability upon nutrient starvation; defective in autophagy	YPL149W	S0006070
APG7	CVT2	autophagy		Null mutant is viable, defective in autophagy	YHR171W	S0001214
APG9	AUT9|CVT7	Integral membrane protein	integral membrane protein	Null mutant is viable but blocked in autophagy and aminopeptidase I import into vacuole. Temperature-sensitive mutant accumulates membrane-associated, protease-sensitive API.	YDL149W	S0002308
API2		<i>API</i>cal 2			YDR525W	S0002933
APJ1		HSP40 family chaperone	J-protein co-chaperone family 20 kDa		YNL077W	S0005021
APL1	YAP80	beta-adaptin, large subunit of the clathrin-associated protein complex	beta-adaptin|clathrin associated protein complex large subunit	null mutant is viable	YJR005W	S0003765
APL2		Beta-adaptin, large subunit of the clathrin-associated protein (AP-1) complex	beta-adaptin|clathrin associated protein complex large subunit	null mutant is viable	YKL135C	S0001618
APL3		clathrin Associated Protein complex Large subunit	clathrin associated protein complex large subunit	Null mutant is viable	YBL037W	S0000133
APL4		Gamma-adaptin, large subunit of the clathrin-associated protein (AP) complex	clathrin associated protein complex large subunit|gamma-adaptin		YPR029C	S0006233
APL5	YKS4	Delta-like subunit of the yeast AP-3 complex which functions in transport of alkaline phosphatase to the vacuole via the alternate pathway, suppressor of loss of casein kinase 1 function	clathrin assembly complex AP-3 adaptin component delta-like subunit	Null mutant is viable, rescues yck1,yck2 double mutant	YPL195W	S0006116
APL6	YKS5	beta3-like subunit of the yeast AP-3 complex which functions in transport of alkaline phosphatase to the vacuole via the alternate pathway, suppressor of loss of casein kinase 1 function	clathrin assembly complex beta adaptin component (putative)	Null mutant is viable, null rescues yck1 yck2 double mutant	YGR261C	S0003493
APM1	YAP54	medium subunit of the clathrin-associated protein complex	clathrin associated protein complex medium subunit	Null mutant is viable, enhances the slow growth and late Golgi sorting defects of a chc1-ts mutant	YPL259C	S0006180
APM2		homologous to the medium chain of mammalian clathrin-associated protein complex		Null mutant is viable	YHL019C	S0001011
APM3	YKS6	Mu3-like subunit of the yeast AP-3 complex which functions in transport of alkaline phosphatase to the vacuole via the alternate pathway	clathrin associated protein complex medium subunit	Null mutant is viable, even combined with apm1 and apm2	YBR288C	S0000492
APM4	AMP1	Clathrin associated protein, medium subunit	clathrin associated protein complex medium subunit		YOL062C	S0005423
APN1		major apurinic/apyrimidinic endonuclease/3'-repair diesterase	major apurinic/apyrimidinic endonuclease/3'-repair diesterase	hypersensitive to both oxidative and alkylating agents that damage DNA; higher rate of spontaneous mutation	YKL114C	S0001597
APN2	ETH1	AP endonuclease 2, homolog of human HAP1 and E. coli exoIII	AP endonuclease	The apn2 null mutant is viable and is not MMS sensitive. The apn1 apn2 null mutant, however, is extremely sensitive to MMS, shows highly elevated frequencies of MMS induced mutagenesis, and is defective in the repair of abasic sites.	YBL019W	S0000115
APP1		Actin Patch Protein	Unknown	Null: Viable. Other phenotypes: Unknown	YNL094W	S0005038
APP2		Hypothetical ORF			YMR192W	S0004804
APQ12					YIL040W	S0001302
APQ13					YJL075C	S0003611
APR2						L0000097
APR3						L0000098
APR4						L0000099
APR5						L0000100
APS1	YAP19	Involved in a subset of clathrin functions at the Golgi	clathrin associated protein complex small subunit	Null mutant is viable; aps1 mutants demonstrate synthetic effects with chc1 alleles	YLR170C	S0004160
